countyFIPS,PopulationDensityperSqMile2010,PopulationEstimate2018,#ICU_beds,MedianAge2010,Smokers_Percentage,DiabetesPercentage,HeartDiseaseMortality,#Hospitals
34025,1344.7,621354.0,152.0,41.3,13.360452416,7.5,159.1,5.0
36029,881.4,919719.0,262.0,40.4,17.253724261,9.6,180.9,6.0
08041,292.6,713856.0,95.0,34.1,14.264909913,6.5,135.6,3.0
06111,446.7,850967.0,139.0,36.2,10.561021793,8.3,127.7,7.0
12021,160.9,378488.0,73.0,46.9,14.441909850999998,6.1,94.2,2.0
42045,3040.5,564751.0,100.0,38.7,14.917709667999999,8.9,173.2,4.0
51153,1195.0,468011.0,24.0,33.5,13.432226007,9.2,115.2,2.0
12097,202.4,367990.0,66.0,35.6,17.791410063,11.0,178.7,3.0
47093,850.5,465289.0,254.0,37.2,19.71365622,9.9,177.4,4.0
46099,210.0,192876.0,54.0,34.5,15.445669227,8.3,149.2,4.0
29183,643.2,399182.0,39.0,36.9,16.129224791,7.1,154.4,4.0
04027,35.5,212128.0,42.0,33.8,13.32703585,12.9,123.7,1.0
36071,459.3,381951.0,76.0,36.6,15.142023205,8.6,180.8,4.0
10003,1263.2,559335.0,119.0,37.2,15.242558127999999,9.4,153.8,2.0
35001,570.8,678701.0,138.0,35.8,15.209989631,6.4,139.3,5.0
12033,453.4,315534.0,120.0,37.6,20.245830172,11.8,181.7,3.0
39113,1159.5,532331.0,196.0,39.2,20.198986786,11.5,184.0,4.0
25005,991.3,564022.0,96.0,39.8,15.01321279,9.2,154.3,4.0
12081,434.5,394855.0,90.0,45.7,15.218624112,7.4,137.4,3.0
48339,437.5,590925.0,97.0,36.1,14.610748407,8.3,168.6,6.0
17201,575.2,284081.0,87.0,38.3,17.029516572000002,9.0,181.5,3.0
47149,424.0,324890.0,78.0,32.2,18.863190384,11.3,177.7,3.0
22071,2029.4,391006.0,111.0,34.6,22.609624129,10.3,189.7,5.0
15003,1586.7,980080.0,148.0,37.8,10.999521277000001,9.5,132.6,8.0
47065,620.3,364286.0,215.0,39.3,19.163372998,11.9,182.1,3.0
12127,449.2,547538.0,148.0,45.3,18.360185779000002,10.2,176.4,5.0
06025,41.8,181827.0,28.0,31.9,12.840010729000001,9.0,141.9,2.0
05119,503.8,392680.0,209.0,36.0,18.180889407000002,11.0,198.4,8.0
34007,2321.5,507078.0,199.0,37.9,16.134609166,10.7,180.8,4.0
53077,56.6,251446.0,52.0,32.2,14.442937059,10.7,171.6,4.0
24003,1295.9,576031.0,53.0,38.4,13.675421228,8.8,161.1,2.0
27037,709.0,425423.0,12.0,36.8,13.781499636,6.9,93.7,2.0
27003,782.1,353813.0,35.0,37.1,14.520691847,8.0,103.8,1.0
48167,769.9,337890.0,26.0,37.2,18.731028807,10.7,167.5,1.0
48039,230.7,370200.0,16.0,35.1,13.406956708,10.1,172.8,3.0
53053,476.3,891299.0,189.0,35.9,15.114787239000002,9.0,157.2,5.0
37081,756.4,533670.0,142.0,36.3,15.811453025,8.7,139.3,2.0
45051,237.5,344147.0,100.0,41.1,17.395272353,10.0,195.7,4.0
06075,17179.2,883305.0,337.0,38.5,10.326062381,6.7,110.9,10.0
12073,413.1,292502.0,60.0,29.6,17.327578634,8.8,136.2,2.0
25021,1693.6,705388.0,59.0,40.7,12.238980283,7.3,130.5,4.0
04021,70.0,447138.0,22.0,35.3,16.274473498,11.3,124.6,4.0
12009,535.0,596849.0,159.0,45.5,16.866412293,10.1,165.8,7.0
21067,1042.9,323780.0,260.0,33.7,19.628755841,9.9,144.8,4.0
05143,215.6,236961.0,61.0,30.7,18.972600972000002,9.3,258.3,3.0
18039,426.5,205560.0,35.0,34.9,19.885998827999998,11.5,176.7,2.0
18141,583.0,270771.0,74.0,36.2,19.041988454000002,8.7,170.8,3.0
29095,1115.3,700307.0,274.0,36.2,20.051586925,10.2,182.4,9.0
06053,126.5,435594.0,27.0,32.9,12.249990899,8.0,110.3,4.0
25023,750.9,518132.0,47.0,41.1,14.512457326,9.0,149.5,3.0
08059,699.5,580233.0,94.0,40.4,12.320125467,5.1,135.9,4.0
06081,1602.2,769545.0,131.0,39.3,8.6133573373,6.8,110.1,7.0
18003,540.6,375351.0,170.0,35.3,19.774598017,9.6,169.7,6.0
12101,622.2,539630.0,166.0,43.6,18.629613172,10.3,158.3,6.0
38017,84.9,181516.0,111.0,31.5,16.244143425,7.6,124.4,2.0
55087,277.2,187365.0,64.0,37.1,14.647257950999998,9.4,154.0,2.0
53061,341.8,814901.0,72.0,37.1,12.962308599000002,7.7,131.9,4.0
25013,751.0,470406.0,119.0,38.6,15.440525252,9.5,150.8,5.0
16027,321.6,223499.0,41.0,31.6,14.129309587,9.1,174.5,3.0
42017,1034.7,628195.0,90.0,42.0,14.369768279,6.4,139.8,7.0
29077,407.5,291923.0,163.0,35.8,19.506400795999998,10.5,180.0,2.0
53063,267.2,514631.0,113.0,36.8,14.493901558,8.5,137.0,4.0
31109,340.8,317272.0,108.0,32.6,12.899221420999998,7.4,130.1,4.0
13139,457.5,202148.0,85.0,34.5,15.636843143,11.7,145.8,1.0
41051,1704.9,811880.0,165.0,35.7,15.962060027,8.1,144.0,6.0
12083,209.1,359977.0,110.0,47.3,18.665004178,11.8,200.9,2.0
48309,226.5,254607.0,54.0,32.7,15.744620118,9.3,173.6,2.0
12001,282.7,269956.0,210.0,30.1,16.380852085999997,9.2,128.8,2.0
55139,384.4,171020.0,26.0,37.9,15.258878360999999,8.1,129.0,2.0
01125,147.3,208911.0,84.0,31.2,17.872632402,12.0,221.4,1.0
01101,292.5,225763.0,88.0,34.9,19.68315291,13.0,179.7,3.0
55101,587.7,196584.0,33.0,39.0,15.414274165,7.0,161.7,2.0
39017,788.2,382378.0,74.0,36.0,18.240214547,10.2,167.8,4.0
12117,1367.0,467832.0,38.0,38.2,15.642006468,8.5,140.6,2.0
42071,550.4,543557.0,64.0,38.2,14.89888061,8.2,154.3,3.0
49011,1025.8,351713.0,22.0,29.2,8.8437250992,8.0,157.7,3.0
22017,290.2,242922.0,107.0,36.4,21.923980452,11.5,163.7,5.0
17163,410.6,261059.0,42.0,36.9,17.634094955,8.6,184.3,4.0
02020,171.2,291538.0,73.0,32.9,15.041432025999999,8.2,134.0,3.0
42011,480.4,420152.0,71.0,39.1,16.58359467,11.2,171.2,3.0
39095,1296.2,429899.0,251.0,37.0,21.087334662,11.6,214.4,7.0
34027,1069.8,494228.0,91.0,41.3,12.111935176,6.3,143.5,3.0
12115,682.6,426718.0,118.0,52.5,15.030472177,5.7,109.7,4.0
01089,417.7,366519.0,100.0,37.3,16.820172701,12.4,197.2,2.0
06097,307.1,499942.0,82.0,39.9,10.07567654,6.0,133.7,8.0
34021,1632.2,369811.0,92.0,37.8,13.55615998,8.1,158.5,4.0
06083,155.0,446527.0,82.0,33.6,11.377310554000001,8.2,129.6,5.0
48491,378.0,566719.0,90.0,34.2,12.565249776,8.8,117.8,6.0
06047,132.2,274765.0,24.0,29.6,14.129606461,14.2,176.1,2.0
37067,859.2,379099.0,259.0,37.2,18.379820476,10.0,141.1,3.0
45083,351.9,313888.0,39.0,38.0,17.019495795,10.6,194.6,1.0
13051,621.7,289195.0,78.0,34.0,17.080114225,9.9,183.9,3.0
37063,935.7,316739.0,148.0,33.2,14.789372254000002,6.7,128.4,3.0
48375,133.3,119648.0,99.0,33.0,17.585883715,10.4,252.6,3.0
29510,5157.5,302838.0,207.0,33.9,24.601234178000002,11.5,228.3,3.0
45063,375.4,295032.0,55.0,37.9,16.304205353,10.6,162.5,2.0
19113,294.7,225909.0,44.0,36.5,16.37223578,8.3,153.7,2.0
17111,511.9,308570.0,33.0,38.0,13.611800059,9.0,153.9,2.0
22055,824.6,242782.0,80.0,33.2,17.798626642000002,9.8,193.7,7.0
05007,261.2,272608.0,30.0,34.3,16.513156719,8.6,158.1,3.0
40027,474.7,281669.0,77.0,32.7,15.500138403,10.5,169.4,1.0
34005,561.9,445384.0,82.0,40.4,12.445638161,9.9,167.6,3.0
17119,376.3,264461.0,58.0,38.6,16.476964233,9.4,198.7,5.0
12111,485.7,321128.0,69.0,42.4,18.069282607,8.9,145.7,2.0
48041,332.8,226758.0,48.0,24.5,14.152728089000002,9.7,158.6,4.0
13063,1832.5,289615.0,34.0,31.6,18.628809924000002,11.6,193.2,1.0
12069,316.6,356495.0,158.0,45.6,16.845825454,9.7,153.6,4.0
20209,1039.0,165324.0,145.0,32.8,20.980084625,12.4,167.3,2.0
36055,1132.6,742474.0,191.0,38.5,15.151442269,8.4,149.3,5.0
06031,110.1,151366.0,22.0,31.1,14.270521128,11.1,154.3,1.0
39153,1312.6,541918.0,170.0,40.0,18.483947403,9.0,179.7,4.0
42029,664.7,522046.0,93.0,39.3,14.668339218,7.4,148.0,5.0
13245,618.4,201554.0,264.0,33.2,19.904427644000002,11.6,221.9,3.0
26049,668.5,406892.0,151.0,38.5,18.986887755999998,11.6,227.3,3.0
38015,49.8,95273.0,72.0,37.3,15.558588939000002,8.1,113.4,2.0
27163,619.7,259201.0,31.0,38.3,11.309416730999999,6.5,98.8,2.0
48245,287.9,255001.0,88.0,36.0,16.567076593,13.4,233.3,3.0
18057,696.4,330086.0,10.0,35.6,13.307633994000001,7.6,129.3,5.0
51810,1758.9,450189.0,50.0,34.9,14.952018469,9.2,137.0,2.0
