FIPS,State,County,x2020-02-15,x2020-02-16,x2020-02-17,x2020-02-18,x2020-02-19,x2020-02-20,x2020-02-21,x2020-02-22,x2020-02-23,x2020-02-24,x2020-02-25,x2020-02-26,x2020-02-27,x2020-02-28,x2020-02-29,x2020-03-01,x2020-03-02,x2020-03-03,x2020-03-04,x2020-03-05,x2020-03-06,x2020-03-07,x2020-03-08,x2020-03-09,x2020-03-10,x2020-03-11,x2020-03-12,x2020-03-13,x2020-03-14,x2020-03-15,x2020-03-16,x2020-03-17,x2020-03-18,x2020-03-19,x2020-03-20,x2020-03-21,x2020-03-22,x2020-03-23,x2020-03-24,x2020-03-25,x2020-03-26,x2020-03-27,x2020-03-28,x2020-03-29,x2020-03-30,x2020-03-31,x2020-04-01,x2020-04-02,x2020-04-03,x2020-04-04,x2020-04-05,x2020-04-06,x2020-04-07,x2020-04-08,x2020-04-09,x2020-04-10,x2020-04-11,x2020-04-12,x2020-04-13,x2020-04-14,x2020-04-15,x2020-04-16,x2020-04-17,x2020-04-18,x2020-04-19,x2020-04-20,x2020-04-21,x2020-04-22,x2020-04-23,x2020-04-24,x2020-04-25,x2020-04-26,x2020-04-27,x2020-04-28,x2020-04-29,x2020-04-30,x2020-05-01,x2020-05-02,x2020-05-03,x2020-05-04,x2020-05-05,x2020-05-06,x2020-05-07,x2020-05-08,x2020-05-09,x2020-05-10,x2020-05-11,x2020-05-12,x2020-05-13,x2020-05-14,x2020-05-15,x2020-05-16,x2020-05-17,x2020-05-18,x2020-05-19,x2020-05-20
34021,New Jersey,Mercer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,8,3,3,5,4,8,3,10,1,3,18,5,11,14,9,3,9,11,12,18,15,5,5,6,18,8,11,8,13,3,1,24,18,15,9,8,4,6,9,11,14,12,10,11,1,14,9
42017,Pennsylvania,Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,2,6,3,3,1,4,3,4,3,3,3,11,8,7,10,0,11,11,17,10,2,7,4,12,17,10,20,19,13,7,3,18,25,21,16,11,5,5,8,15,9,22,15,11,1,0,9,5
34035,New Jersey,Somerset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1,0,6,0,1,2,6,1,2,5,9,6,13,10,9,1,6,6,10,20,14,11,12,12,6,7,13,2,21,4,4,15,10,18,12,7,6,3,8,9,5,8,3,2,2,4,1,8,11,4,12,0,7,2
36071,New York,Orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,22,5,0,21,0,0,29,0,11,12,8,13,10,7,6,9,0,0,21,4,12,2,7,4,6,3,10,10,9,5,6,4,3,4,2,42,4,5,4,4,3,6,7,2,2,7,5,3,2,6
04013,Arizona,Maricopa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,3,0,4,5,11,3,0,4,2,2,2,6,1,4,2,6,4,5,1,5,0,9,13,18,5,1,1,0,15,3,5,2,12,9,0,7,11,18,34,7,2,3,9,22,11,10,17,0,5,15,18
29189,Missouri,St. Louis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,4,2,1,10,2,2,5,9,0,8,3,10,3,6,8,1,1,9,6,8,16,6,0,10,22,0,3,6,9,0,0,12,15,16,26,9,7,4,12,15,12,13,11,6,1,11,5
44007,Rhode Island,Providence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,25,0,0,0,133,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0
25005,Massachusetts,Bristol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,3,0,8,7,5,5,6,4,3,7,3,7,12,8,4,1,8,8,5,17,4,4,3,18,10,7,10,5,11,7,5,13,9,20,8,6,8,4,10,9,6,10,7,4,6,8
17043,Illinois,DuPage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,2,2,2,2,2,4,0,4,4,6,6,6,2,6,5,5,3,8,6,2,5,8,5,15,7,2,4,2,6,3,21,11,15,3,4,11,13,8,8,11,1,3,7,13,8,8,6,5,2,15,11
32003,Nevada,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,4,0,4,0,1,8,5,6,5,2,0,0,13,11,6,4,21,4,1,5,9,6,3,9,4,0,4,9,13,5,6,0,0,12,10,6,4,9,3,5,3,12,7,8,3,4,0,7,8,7,9,2,3,0,8,10
51059,Virginia,Fairfax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,3,0,7,0,0,0,4,0,9,1,7,0,0,22,5,2,10,9,5,5,5,14,10,10,3,16,31,14,3,0,10,16,3,9,4,10,9,5,6,5,4,2,8,10
08031,Colorado,Denver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,1,1,3,3,0,2,0,16,2,5,4,4,0,5,5,5,2,3,8,1,8,8,5,2,30,4,0,3,10,5,4,9,1,2,0,22,7,4,3,3,1,6,2,19,4,11,13,4,7,13,9
12099,Florida,Palm Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,1,3,4,8,5,6,2,14,2,13,5,6,4,1,1,11,11,4,5,3,0,7,1,9,0,13,11,0,0,1,17,5,8,5,4,1,0,9,10,7,7,8,0,1,7,9,9,8,4,0,0,9,7
34007,New Jersey,Camden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,0,2,0,0,2,10,1,6,0,3,3,6,8,11,4,9,1,7,8,5,10,2,12,3,1,2,12,11,8,6,2,0,17,9,4,6,18,8,2,9,10,10,6,6,4,3,4,7
